100, 113, 2230004.83684, 3600.02190971, 0.149960737294 
100, 121, 2206099.95499, 3600.00790977, 0.222894145117 
100, 123, 2343962.82377, 3600.03290939, 0.228555507381 
100, 127, 2048014.44927, 3600.00490952, 0.159014950366 
100, 200, 2012416.26456, 3600.02391052, 0.168673476793 
100, 1019, 1976338.62108, 3600.00690842, 0.122027690083 
100, 1027, 2684014.68769, 3600.01190758, 0.124411208492 
100, 1051, 1890249.03981, 3600.02390862, 0.143431199957 
100, 1055, 1367775.97708, 3600.04191017, 0.156112175264 
100, 1059, 2181445.1717, 3600.14191628, 0.146237075095 
300, 113, 6513610.0393, 3600.02491188, 0.346248153267 
300, 121, 4775708.50232, 3600.04691315, 0.376376295393 
300, 123, 6502031.47024, 3600.03090858, 0.410175762311 
300, 127, 5934321.95388, 3600.03091049, 0.376477165436 
300, 200, 6283313.89226, 3600.02391052, 0.38296419408 
300, 1019, 7093710.36499, 3600.06591034, 0.370099601903 
300, 1027, 6893940.30593, 3600.0369091, 0.314889027908 
300, 1051, 5978275.86957, 3600.03590775, 0.366342621888 
300, 1055, 5389996.42396, 3600.07291222, 0.363011884057 
300, 1059, 6350452.00777, 3600.07091141, 0.379442948426 
900, 113, 17413293.9589, 3600.11991501, 0.452574267924 
900, 121, 12842034.906, 3600.33592606, 0.436905706628 
900, 123, 13859897.6978, 3600.08491516, 0.481746999202 
900, 127, 15158844.6372, 3600.21992302, 0.449071162687 
900, 200, 14476163.9776, 3600.14391708, 0.475985118455 
900, 1019, 16669123.9771, 3600.19192123, 0.503691598081 
900, 1027, 18584793.9974, 3600.10191536, 0.467971400856 
900, 1051, 14278414.8118, 3600.07391167, 0.47406320289 
900, 1055, 12800466.6525, 3600.1309166, 0.472435825463 
900, 1059, 14889493.972, 3600.13691711, 0.490071124578 
